Mgf_Year,Car_Brand,Car_Model,City,State,Price,Kms,Engine_Type,EngineTransmission
2016,Honda,Jazz 1.2 SV i VTEC,Naranpura, Ahmedabad,475000,60000,Petrol,Manual
2015,Honda,Jazz 1.2 V i VTEC,Mumatpura, Ahmedabad,424000,55564,Petrol,Manual
2017,Honda,Jazz 1.5 S i DTEC,Makarba, Ahmedabad,560000,62000,Diesel,Manual
2021,Honda,Jazz V CVT,Naranpura, Ahmedabad,790000,31000,Petrol,Automatic
2014,Honda,Brio V MT,Makarba, Ahmedabad,350000,87000,Petrol,Manual
2018,Honda,Jazz V CVT,Makarba, Ahmedabad,595000,60000,Petrol,Automatic
2015,Honda,Jazz 1.2 S i VTEC,Naroda, Ahmedabad,348000,103078,Petrol,Manual
2014,Honda,Brio VX AT,Makarba, Ahmedabad,390000,87000,Petrol,Automatic
2014,Honda,Brio S MT,Mumatpura, Ahmedabad,353000,63894,Petrol,Manual
2011,Honda,Jazz X,Makarba, Ahmedabad,265000,77000,Petrol,Manual
2012,Honda,Brio S MT,Naranpura, Ahmedabad,290000,79000,Petrol,Manual
2016,Honda,Jazz 1.2 S i VTEC,Naranpura Vistar, Ahmedabad,435000,65000,Petrol,Manual
2012,Honda,Brio S MT,Naroda, Ahmedabad,270000,59081,Petrol,Manual
2012,Honda,Brio V MT,Naranpura, Ahmedabad,265000,61000,Petrol,Manual
2015,Honda,Jazz 1.2 VX i VTEC,Naroda, Ahmedabad,518000,24796,Petrol,Manual
2014,Honda,Brio VX,Thaltej, Ahmedabad,325000,65000,Petrol,Manual
2015,Honda,Brio S MT,Naroda, Ahmedabad,298000,111585,Petrol,Manual
2014,Honda,Brio S MT,Mumatpura, Ahmedabad,364000,35921,Petrol,Manual
2016,Honda,Jazz 1.2 V AT i VTEC,Naroda, Ahmedabad,556000,39004,Petrol,Automatic
2019,Honda,Jazz V,Mumatpura, Ahmedabad,560000,56553,Petrol,Manual
2015,Honda,Mobilio S i-DTEC,Naranpura Vistar, Ahmedabad,611000,68000,Diesel,Manual
2014,Honda,Mobilio S i-VTEC,Naranpura Vistar, Ahmedabad,541000,60000,Petrol,Manual
2010,Honda,City S,Ahmedabad, Ahmedabad,300000,80000,Petrol,Manual
2018,Honda,City i-VTEC ZX,Makarba, Ahmedabad,1025000,46000,Petrol,Manual
2020,Honda,Amaze S Diesel,Naranpura, Ahmedabad,650000,53000,Diesel,Manual
2015,Honda,City i VTEC CVT SV,Naroda, Ahmedabad,540000,110184,Petrol,Automatic
2017,Honda,City i-VTEC V,Thaltej, Ahmedabad,750000,66879,Petrol,Manual
2017,Honda,City i DTec VX,Mumatpura, Ahmedabad,734000,97530,Diesel,Manual
2016,Honda,City i VTEC V,Makarba, Ahmedabad,590000,81000,Petrol,Manual
2016,Honda,City i DTec V,Makarba, Ahmedabad,670000,90000,Diesel,Manual
2010,Honda,City V AT,Makarba, Ahmedabad,375000,43000,Petrol,Automatic
2014,Honda,City i DTEC VX,Naranpura, Ahmedabad,575000,102000,Diesel,Manual
2021,Honda,City ZX CVT,Mumatpura, Ahmedabad,1149000,43240,Petrol,Automatic
2017,Honda,City i VTEC VX,Naranpura, Ahmedabad,775000,66000,Petrol,Manual
2017,Honda,City i-VTEC CVT V,Thaltej, Ahmedabad,790000,69000,Petrol,Automatic
2011,Honda,Civic 1.8 V MT,Naranpura, Ahmedabad,325000,121000,Petrol,Manual
2017,Honda,City i-VTEC CVT VX,Makarba, Ahmedabad,795000,60000,Petrol,Automatic
2015,Honda,Amaze S i-Dtech,Makarba, Ahmedabad,450000,98000,Diesel,Manual
2015,Honda,City i DTEC VX,Makarba, Ahmedabad,595000,85000,Diesel,Manual
2015,Honda,City i VTEC V,Naranpura Vistar, Ahmedabad,595000,50000,Petrol,Manual
2016,Honda,Amaze S i-DTEC,Thaltej, Ahmedabad,550000,58000,Diesel,Manual
2017,Honda,WRV 2017-2020 i-DTEC VX,Naroda, Ahmedabad,669000,105944,Diesel,Manual
2017,Honda,WRV 2017-2020 i-DTEC VX,Naroda, Ahmedabad,615000,69508,Diesel,Manual
2007,Honda,CR-V 2.4 MT,Ahmedabad, Ahmedabad,349000,120000,Petrol,Manual
2016,Honda,BR-V Style Edition V CVT,Ahmedabad, Ahmedabad,700000,60000,Petrol,Automatic
2017,Honda,BR-V Style Edition V,Ahmedabad, Ahmedabad,690000,80000,Petrol,Manual
2016,Hyundai,Xcent 1.2 Kappa S Celebration Edition,Naroda, Ahmedabad,520000,81183,Petrol,Manual
2018,Hyundai,Elantra 2.0 SX AT,Makarba, Ahmedabad,875000,54000,Petrol,Automatic
2018,Hyundai,Verna CRDi 1.6 AT SX Option,Makarba, Ahmedabad,1075000,82000,Diesel,Automatic
2022,Hyundai,Verna SX AT Diesel,Makarba, Ahmedabad,1390000,80000,Diesel,Automatic
2019,Hyundai,Verna VTVT 1.6 SX,Makarba, Ahmedabad,890000,90000,Petrol,Manual
2015,Hyundai,Verna 1.6 VTVT S Option,Makarba, Ahmedabad,590000,84000,Petrol,Manual
2017,Hyundai,Xcent 1.2 VTVT S,Makarba, Ahmedabad,475000,71000,Petrol,Manual
